TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,COLUMN_TYPE,EXTRA
"kinga_staging","component_benchmarks","id","1","","NO","int","auto_increment"
"kinga_staging","component_benchmarks","component_id","2","","NO","varchar(100)",""
"kinga_staging","component_benchmarks","vehicle_make","3","","YES","varchar(100)",""
"kinga_staging","component_benchmarks","vehicle_model","4","","YES","varchar(100)",""
"kinga_staging","component_benchmarks","year_band","5","","YES","varchar(20)",""
"kinga_staging","component_benchmarks","vehicle_variant","6","","YES","varchar(100)",""
"kinga_staging","component_benchmarks","body_type","7","","YES","varchar(60)",""
"kinga_staging","component_benchmarks","market_region","8","","YES","varchar(20)",""
"kinga_staging","component_benchmarks","currency_code","9","","YES","varchar(10)",""
"kinga_staging","component_benchmarks","evidence_quality","10","accepted_quote","NO","enum('verified','accepted_quote','assessor_validated','review_required')",""
"kinga_staging","component_benchmarks","category","11","","YES","varchar(100)",""
"kinga_staging","component_benchmarks","n","12","","NO","int",""
"kinga_staging","component_benchmarks","p25","13","","NO","double",""
"kinga_staging","component_benchmarks","median","14","","NO","double",""
"kinga_staging","component_benchmarks","p75","15","","NO","double",""
"kinga_staging","component_benchmarks","min_cost","16","","YES","double",""
"kinga_staging","component_benchmarks","max_cost","17","","YES","double",""
"kinga_staging","component_benchmarks","confidence","18","LOW","NO","enum('HIGH','MEDIUM','LOW')",""
"kinga_staging","component_benchmarks","model_version","19","v1.0","NO","varchar(50)",""
"kinga_staging","component_benchmarks","created_at","20","CURRENT_TIMESTAMP","NO","timestamp",""
"kinga_staging","component_benchmarks","updated_at","21","CURRENT_TIMESTAMP","NO","timestamp","DEFAULT_GENERATED on update CURRENT_TIMESTAMP"
"kinga_staging","cross_claim_signals","id","1","","NO","int","auto_increment"
"kinga_staging","cross_claim_signals","claim_id","2","","NO","int",""
"kinga_staging","cross_claim_signals","signal_type","3","","NO","enum('repeat_damage_signal','driver_repeat_claim_signal','repairer_repeat_pattern_signal','vehicle_high_claim_frequency','damage_zone_repeat_signal','staged_accident_signal','repairer_driver_collusion_signal','claim_velocity_signal','total_loss_repeat_signal')",""
"kinga_staging","cross_claim_signals","signal_label","4","","NO","text",""
"kinga_staging","cross_claim_signals","evidence_json","5","","YES","text",""
"kinga_staging","cross_claim_signals","confidence","6","medium","NO","enum('low','medium','high')",""
"kinga_staging","cross_claim_signals","score_contribution","7","0","NO","int",""
"kinga_staging","cross_claim_signals","is_dismissed","8","0","NO","tinyint",""
"kinga_staging","cross_claim_signals","dismissed_by","9","","YES","int",""
"kinga_staging","cross_claim_signals","dismissed_at","10","","YES","timestamp",""
"kinga_staging","cross_claim_signals","dismissal_note","11","","YES","text",""
"kinga_staging","cross_claim_signals","tenant_id","12","","YES","varchar(255)",""
"kinga_staging","cross_claim_signals","created_at","13","CURRENT_TIMESTAMP","NO","timestamp",""
"kinga_staging","cross_claim_signals","updated_at","14","CURRENT_TIMESTAMP","NO","timestamp","DEFAULT_GENERATED on update CURRENT_TIMESTAMP"
"kinga_staging","customer_consent","id","1","","NO","int","auto_increment"
