TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,COLUMN_TYPE,EXTRA
"kinga_staging","pipeline_jobs","id","1","","NO","int","auto_increment"
"kinga_staging","pipeline_jobs","claim_id","2","","NO","int",""
"kinga_staging","pipeline_jobs","run_id","3","","NO","varchar(64)",""
"kinga_staging","pipeline_jobs","stage_id","4","","NO","varchar(100)",""
"kinga_staging","pipeline_jobs","stage_label","5","","NO","varchar(255)",""
"kinga_staging","pipeline_jobs","stage_index","6","0","NO","int",""
"kinga_staging","pipeline_jobs","tenant_id","7","","YES","varchar(255)",""
"kinga_staging","pipeline_jobs","status","8","running","NO","enum('running','completed','failed','skipped','degraded')",""
"kinga_staging","pipeline_jobs","is_degraded","9","0","NO","tinyint",""
"kinga_staging","pipeline_jobs","is_timeout","10","0","NO","tinyint",""
"kinga_staging","pipeline_jobs","error_message","11","","YES","text",""
"kinga_staging","pipeline_jobs","duration_ms","12","","YES","int",""
"kinga_staging","pipeline_jobs","llm_tokens_input","13","","YES","int",""
"kinga_staging","pipeline_jobs","llm_tokens_output","14","","YES","int",""
"kinga_staging","pipeline_jobs","llm_model","15","","YES","varchar(100)",""
"kinga_staging","pipeline_jobs","assumption_count","16","0","NO","int",""
"kinga_staging","pipeline_jobs","recovery_action_count","17","0","NO","int",""
"kinga_staging","pipeline_jobs","started_at","18","CURRENT_TIMESTAMP","NO","timestamp",""
"kinga_staging","pipeline_jobs","completed_at","19","","YES","timestamp",""
"kinga_staging","pipeline_jobs","result_json","20","","YES","longtext",""
"kinga_staging","pipeline_runs","id","1","","NO","int","auto_increment"
"kinga_staging","pipeline_runs","run_id","2","","NO","varchar(64)",""
"kinga_staging","pipeline_runs","claim_id","3","","NO","int",""
"kinga_staging","pipeline_runs","tenant_id","4","","YES","varchar(255)",""
"kinga_staging","pipeline_runs","triggered_by","5","","YES","varchar(255)",""
"kinga_staging","pipeline_runs","trigger_reason","6","","YES","varchar(255)",""
"kinga_staging","pipeline_runs","status","7","running","NO","enum('running','completed','failed','partial')",""
"kinga_staging","pipeline_runs","is_rerun","8","0","NO","tinyint",""
"kinga_staging","pipeline_runs","stages_completed","9","0","NO","int",""
"kinga_staging","pipeline_runs","stages_failed","10","0","NO","int",""
"kinga_staging","pipeline_runs","stages_degraded","11","0","NO","int",""
"kinga_staging","pipeline_runs","total_duration_ms","12","","YES","int",""
"kinga_staging","pipeline_runs","total_llm_tokens","13","","YES","int",""
"kinga_staging","pipeline_runs","started_at","14","CURRENT_TIMESTAMP","NO","timestamp",""
"kinga_staging","pipeline_runs","completed_at","15","","YES","timestamp",""
"kinga_staging","policy_claim_links","id","1","","NO","int","auto_increment"
"kinga_staging","policy_claim_links","policy_id","2","","NO","int",""
