table_name,index_name,seq_in_index,column_name,non_unique
"pdf_reports","idx_snapshot_id","1","snapshot_id","1"
"pdf_reports","idx_tenant_id","1","tenant_id","1"
"personal_vehicles","personal_vehicles_user_id","1","user_id","1"
"physical_measurements","idx_pm_captured_at","1","captured_at","1"
"physical_measurements","idx_pm_captured_by","1","captured_by","1"
"physical_measurements","idx_pm_category","1","measurement_category","1"
"physical_measurements","idx_pm_inspection","1","inspection_id","1"
"physical_measurements","idx_pm_tenant","1","tenant_id","1"
"pipeline_jobs","idx_pj_claim_id","1","claim_id","1"
"pipeline_jobs","idx_pj_run_id","1","run_id","1"
"pipeline_jobs","idx_pj_run_stage","1","run_id","0"
"pipeline_jobs","idx_pj_run_stage","2","stage_id","0"
"pipeline_jobs","idx_pj_stage_id","1","stage_id","1"
"pipeline_jobs","idx_pj_status","1","status","1"
"pipeline_runs","idx_pr_claim_id","1","claim_id","1"
"pipeline_runs","idx_pr_run_id","1","run_id","1"
"pipeline_runs","idx_pr_started_at","1","started_at","1"
"pipeline_runs","idx_pr_status","1","status","1"
"platform_governance_limits","idx_gov_limits_effective","1","effective_from","1"
"platform_governance_limits","idx_gov_limits_version","1","version","1"
"police_reports","police_reports_claim_id_claims_id_fk","1","claim_id","1"
"policy_claim_links","policy_claim_links_claim_id_claims_id_fk","1","claim_id","1"
"policy_endorsements","policy_endorsements_endorsement_number_unique","1","endorsement_number","1"
"pre_accident_damage","pre_accident_damage_claim_id_claims_id_fk","1","claim_id","1"
"predictive_risk_scores","idx_prs_entity","1","entity_type","1"
"predictive_risk_scores","idx_prs_entity","2","entity_id","1"
"predictive_risk_scores","idx_prs_score_type","1","score_type","1"
"predictive_risk_scores","idx_prs_tenant_id","1","tenant_id","1"
"predictive_risk_scores","idx_prs_valid_from","1","valid_from","1"
"quotation_request_documents","qrd_client_user_id","1","client_user_id","1"
"quotation_request_documents","qrd_quotation_request_id","1","quotation_request_id","1"
"quotation_requests","request_number","1","request_number","1"
"quote_optimisation_results","idx_qor_claim_id","1","claim_id","1"
"quote_optimisation_results","idx_qor_risk","1","overall_risk_score","1"
"quote_optimisation_results","idx_qor_status","1","status","1"
"quote_optimisation_results","quote_optimisation_results_claim_id_claims_id_fk","1","claim_id","1"
"rate_limit_tracking","idx_user_tenant_action_window","1","user_id","1"
"rate_limit_tracking","idx_user_tenant_action_window","2","tenant_id","1"
"rate_limit_tracking","idx_user_tenant_action_window","3","action_type","1"
"rate_limit_tracking","idx_user_tenant_action_window","4","window_start","1"
"rate_limit_tracking","idx_window_start","1","window_start","1"
"recovery_cases","idx_rc_assigned_officer","1","assigned_officer_user_id","1"
"recovery_cases","idx_rc_claim_id","1","claim_id","1"
"recovery_cases","idx_rc_recovery_deadline","1","recovery_deadline","1"
"recovery_cases","idx_rc_rps","1","recovery_potential_score","1"
"recovery_cases","idx_rc_status","1","status","1"
"recovery_cases","idx_rc_tenant_id","1","tenant_id","1"
"recovery_cases","idx_rc_tenant_status","1","tenant_id","1"
"recovery_cases","idx_rc_tenant_status","2","status","1"
"recovery_cases","recovery_cases_claim_id_claims_id_fk","1","claim_id","1"
"recovery_correspondence_log","idx_rcl_case_id","1","recovery_case_id","1"
"recovery_correspondence_log","idx_rcl_created_at","1","created_at","1"
"recovery_correspondence_log","idx_rcl_tenant_id","1","tenant_id","1"
"repair_cost_intelligence","idx_rci_country","1","country","1"
"repair_cost_intelligence","idx_rci_damage_category","1","damage_category","1"
"repair_cost_intelligence","idx_rci_make_model","1","vehicle_make","1"
"repair_cost_intelligence","idx_rci_make_model","2","vehicle_model","1"
"repair_cost_intelligence","idx_rci_unique","1","vehicle_make","0"
"repair_cost_intelligence","idx_rci_unique","2","vehicle_model","0"
"repair_cost_intelligence","idx_rci_unique","3","damage_category","0"
"repair_cost_intelligence","idx_rci_unique","4","country","0"
"repair_history","idx_rh_claim_id","1","claim_id","1"
"repair_history","idx_rh_fraud_flagged","1","is_fraud_flagged","1"
"repair_history","idx_rh_quality_score","1","repair_quality_score","1"
"repair_history","idx_rh_repair_date","1","repair_date","1"
"repair_history","idx_rh_repairer_id","1","repairer_id","1"
"repair_history","idx_rh_repeat_damage","1","repeat_damage_within_12_months","1"
"repair_history","idx_rh_tenant","1","tenant_id","1"
"repair_history","idx_rh_vehicle_id","1","vehicle_id","1"
"repair_history","idx_rh_warranty_repair","1","is_warranty_repair","1"
"repair_history","repair_history_claim_id_claims_id_fk","1","claim_id","1"
"replay_logs","idx_rl_changed","1","changed","1"
"replay_logs","idx_rl_claim","1","claim_id","1"
"replay_logs","idx_rl_replayed_at","1","replayed_at","1"
"replay_logs","idx_rl_tenant","1","tenant_id","1"
"report_access_audit","idx_accessed_at","1","accessed_at","1"
"report_access_audit","idx_accessed_by","1","accessed_by","1"
"report_access_audit","idx_report_id","1","report_id","1"
"report_access_audit","idx_tenant_id","1","tenant_id","1"
"report_links","idx_access_token","1","access_token","1"
"report_links","idx_snapshot_id","1","snapshot_id","1"
"report_links","idx_tenant_id","1","tenant_id","1"
"report_snapshots","idx_audit_hash","1","audit_hash","1"
"report_snapshots","idx_claim_version","1","claim_id","1"
"report_snapshots","idx_claim_version","2","version","1"
"report_snapshots","idx_generated_by","1","generated_by","1"
"report_snapshots","idx_tenant_id","1","tenant_id","1"
"report_snapshots","report_snapshots_claim_id_claims_id_fk","1","claim_id","1"
"risk_register","idx_risk_register_claim_id","1","claim_id","1"
"risk_register","idx_risk_register_tenant_id","1","tenant_id","1"
"risk_register","risk_register_claim_id_claims_id_fk","1","claim_id","1"
"role_assignment_audit","idx_changed_by","1","changed_by_user_id","1"
"role_assignment_audit","idx_role_audit_tenant_time","1","tenant_id","1"
"role_assignment_audit","idx_role_audit_tenant_time","2","timestamp","1"
"role_assignment_audit","idx_role_audit_user_time","1","user_id","1"
"role_assignment_audit","idx_role_audit_user_time","2","timestamp","1"
"role_assignment_audit","idx_tenant_id","1","tenant_id","1"
"role_assignment_audit","idx_timestamp","1","timestamp","1"
"role_assignment_audit","idx_user_id","1","user_id","1"
"routing_history","idx_routing_claim_id","1","claim_id","1"
"routing_history","idx_routing_claim_tenant","1","claim_id","1"
"routing_history","idx_routing_claim_tenant","2","tenant_id","1"
"routing_history","idx_routing_tenant_id","1","tenant_id","1"
"routing_history","idx_routing_timestamp","1","timestamp","1"
"routing_history","routing_history_claim_id_claims_id_fk","1","claim_id","1"
"routing_threshold_config","idx_threshold_active","1","is_active","1"
"routing_threshold_config","idx_threshold_tenant_active","1","tenant_id","1"
"routing_threshold_config","idx_threshold_tenant_active","2","is_active","1"
"routing_threshold_config","idx_threshold_tenant_id","1","tenant_id","1"
"routing_threshold_config","unique_threshold_tenant_version","1","tenant_id","1"
"routing_threshold_config","unique_threshold_tenant_version","2","version","1"
"shadow_override_monitor","idx_som_activity","1","override_activity_detected","1"
"shadow_override_monitor","idx_som_scanned","1","last_scanned_at","1"
"shadow_override_monitor","idx_som_tenant","1","tenant_id","1"
"shadow_override_monitor","idx_som_user","1","user_id","1"
"super_audit_sessions","idx_super_audit_sessions_audited_tenant_id","1","audited_tenant_id","1"
"super_audit_sessions","idx_super_audit_sessions_session_started_at","1","session_started_at","1"
"super_audit_sessions","idx_super_audit_sessions_super_admin_user_id","1","super_admin_user_id","1"
"supplier_performance_metrics","supplier_performance_metrics_supplier_name_unique","1","supplier_name","1"
