TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,COLUMN_TYPE,EXTRA
"kinga_staging","training_data_scores","id","1","","NO","int","auto_increment"
"kinga_staging","training_data_scores","historical_claim_id","2","","NO","int",""
"kinga_staging","training_data_scores","tenant_id","3","","YES","varchar(64)",""
"kinga_staging","training_data_scores","training_confidence_score","4","","NO","decimal(5,2)",""
"kinga_staging","training_data_scores","training_confidence_category","5","","NO","enum('HIGH','MEDIUM','LOW')",""
"kinga_staging","training_data_scores","assessor_report_score","6","0.00","YES","decimal(5,2)",""
"kinga_staging","training_data_scores","supporting_photos_score","7","0.00","YES","decimal(5,2)",""
"kinga_staging","training_data_scores","panel_beater_quotes_score","8","0.00","YES","decimal(5,2)",""
"kinga_staging","training_data_scores","evidence_completeness_score","9","0.00","YES","decimal(5,2)",""
"kinga_staging","training_data_scores","handwritten_adjustments_score","10","0.00","YES","decimal(5,2)",""
"kinga_staging","training_data_scores","fraud_markers_score","11","0.00","YES","decimal(5,2)",""
"kinga_staging","training_data_scores","dispute_history_score","12","0.00","YES","decimal(5,2)",""
"kinga_staging","training_data_scores","competing_quotes_score","13","0.00","YES","decimal(5,2)",""
"kinga_staging","training_data_scores","scoring_algorithm_version","14","","YES","varchar(20)",""
"kinga_staging","training_data_scores","scoring_notes","15","","YES","text",""
"kinga_staging","training_data_scores","anomaly_detected","16","0","YES","tinyint",""
"kinga_staging","training_data_scores","anomaly_reason","17","","YES","text",""
"kinga_staging","training_data_scores","bias_risk_detected","18","0","YES","tinyint",""
"kinga_staging","training_data_scores","bias_risk_reason","19","","YES","text",""
"kinga_staging","training_data_scores","scored_at","20","CURRENT_TIMESTAMP","NO","timestamp",""
"kinga_staging","training_data_scores","updated_at","21","CURRENT_TIMESTAMP","NO","timestamp","DEFAULT_GENERATED on update CURRENT_TIMESTAMP"
"kinga_staging","training_dataset","id","1","","NO","int","auto_increment"
"kinga_staging","training_dataset","historical_claim_id","2","","NO","int",""
"kinga_staging","training_dataset","tenant_id","3","","YES","varchar(64)",""
"kinga_staging","training_dataset","dataset_version","4","","NO","varchar(50)",""
"kinga_staging","training_dataset","included_at","5","CURRENT_TIMESTAMP","NO","timestamp",""
"kinga_staging","training_dataset","included_by","6","","NO","int",""
"kinga_staging","training_dataset","inclusion_reason","7","","YES","text",""
"kinga_staging","training_dataset","used_in_model_versions","8","","YES","text",""
"kinga_staging","training_dataset","last_used_for_training","9","","YES","timestamp",""
"kinga_staging","training_dataset","is_active","10","1","YES","tinyint",""
"kinga_staging","training_dataset","deactivated_at","11","","YES","timestamp",""
