table_name,index_name,seq_in_index,column_name,non_unique
"ingestion_documents","PRIMARY","1","id","0"
"inspection_projects","PRIMARY","1","id","0"
"inspections","PRIMARY","1","id","0"
"inspections","idx_inspections_ref","1","inspection_ref","0"
"insurance_audit_logs","PRIMARY","1","id","0"
"insurance_carriers","PRIMARY","1","id","0"
"insurance_policies","PRIMARY","1","id","0"
"insurance_products","PRIMARY","1","id","0"
"insurance_quotes","PRIMARY","1","id","0"
"insurer_marketplace_links","PRIMARY","1","id","0"
"insurer_marketplace_links","unique_insurer_marketplace_link","1","insurer_tenant_id","0"
"insurer_marketplace_links","unique_insurer_marketplace_link","2","marketplace_profile_id","0"
"insurer_marketplace_relationships","PRIMARY","1","id","0"
"insurer_marketplace_relationships","unique_insurer_relationship","1","insurer_tenant_id","0"
"insurer_marketplace_relationships","unique_insurer_relationship","2","marketplace_profile_id","0"
"insurer_quote_requests","PRIMARY","1","id","0"
"insurer_quote_requests","unique_claim_insurer_quote","1","claim_id","0"
"insurer_quote_requests","unique_claim_insurer_quote","2","insurer_tenant_id","0"
"insurer_tenants","PRIMARY","1","id","0"
"iso_audit_logs","PRIMARY","1","id","0"
"licensing_records","PRIMARY","1","id","0"
"maintenance_alerts","PRIMARY","1","id","0"
"maintenance_records","PRIMARY","1","id","0"
"maintenance_schedules","PRIMARY","1","id","0"
"marketplace_profiles","PRIMARY","1","id","0"
"measurement_types","PRIMARY","1","id","0"
"measurement_types","measurement_types_code_unique","1","code","0"
"mismatch_annotations","PRIMARY","1","id","0"
"model_training_queue","PRIMARY","1","id","0"
"model_training_queue","idx_mtq_claim_id_unique","1","claim_id","0"
"multi_reference_truth","PRIMARY","1","id","0"
"narrative_versions","PRIMARY","1","id","0"
"notification_events","PRIMARY","1","id","0"
"notification_events","notification_events_idempotency_key_unique","1","idempotency_key","0"
"notification_preferences","PRIMARY","1","id","0"
"notification_preferences","uq_notif_pref_user_module","1","user_id","0"
"notification_preferences","uq_notif_pref_user_module","2","tenant_id","0"
"notification_preferences","uq_notif_pref_user_module","3","module","0"
"notifications","PRIMARY","1","id","0"
"panel_beater_quotes","PRIMARY","1","id","0"
"panel_beaters","PRIMARY","1","id","0"
"parts_pricing_baseline","PRIMARY","1","id","0"
"pdf_reports","PRIMARY","1","id","0"
"personal_vehicles","PRIMARY","1","id","0"
"physical_measurements","PRIMARY","1","id","0"
"physics_validation_records","PRIMARY","1","id","0"
"pipeline_jobs","PRIMARY","1","id","0"
"pipeline_jobs","idx_pj_run_stage","1","run_id","0"
"pipeline_jobs","idx_pj_run_stage","2","stage_id","0"
"pipeline_runs","PRIMARY","1","id","0"
"platform_governance_limits","PRIMARY","1","id","0"
"police_reports","PRIMARY","1","id","0"
"policy_claim_links","PRIMARY","1","id","0"
"policy_documents","PRIMARY","1","id","0"
"policy_endorsements","PRIMARY","1","id","0"
"pre_accident_damage","PRIMARY","1","id","0"
"predictive_risk_scores","PRIMARY","1","id","0"
"quotation_request_documents","PRIMARY","1","id","0"
"quotation_requests","PRIMARY","1","id","0"
"quote_line_items","PRIMARY","1","id","0"
"quote_optimisation_results","PRIMARY","1","id","0"
"rate_limit_tracking","PRIMARY","1","id","0"
"recovery_cases","PRIMARY","1","id","0"
"recovery_correspondence_log","PRIMARY","1","id","0"
"repair_cost_intelligence","PRIMARY","1","id","0"
"repair_cost_intelligence","idx_rci_unique","1","vehicle_make","0"
"repair_cost_intelligence","idx_rci_unique","2","vehicle_model","0"
"repair_cost_intelligence","idx_rci_unique","3","damage_category","0"
"repair_cost_intelligence","idx_rci_unique","4","country","0"
"repair_history","PRIMARY","1","id","0"
"replay_logs","PRIMARY","1","id","0"
"report_access_audit","PRIMARY","1","id","0"
"report_links","PRIMARY","1","id","0"
"report_snapshots","PRIMARY","1","id","0"
"risk_register","PRIMARY","1","id","0"
"role_assignment_audit","PRIMARY","1","id","0"
"routing_history","PRIMARY","1","id","0"
"routing_threshold_config","PRIMARY","1","id","0"
"service_providers","PRIMARY","1","id","0"
"service_quotes","PRIMARY","1","id","0"
"service_requests","PRIMARY","1","id","0"
"shadow_override_monitor","PRIMARY","1","id","0"
"similar_claims_clusters","PRIMARY","1","id","0"
"super_audit_sessions","PRIMARY","1","id","0"
"supplier_performance_metrics","PRIMARY","1","id","0"
"supplier_quote_line_items","PRIMARY","1","id","0"
"supplier_quotes","PRIMARY","1","id","0"
"system_errors","PRIMARY","1","id","0"
"tenant_invitations","PRIMARY","1","id","0"
"tenant_invitations","tenant_invitations_token_unique","1","token","0"
"tenant_isolation_violations","PRIMARY","1","id","0"
"tenant_role_configs","PRIMARY","1","tenant_id","0"
"tenant_role_configs","PRIMARY","2","role_key","0"
"tenant_workflow_configs","PRIMARY","1","id","0"
"tenants","PRIMARY","1","id","0"
"third_party_vehicles","PRIMARY","1","id","0"
"training_data_scores","PRIMARY","1","id","0"
"training_dataset","PRIMARY","1","id","0"
"usage_events","PRIMARY","1","id","0"
"users","PRIMARY","1","id","0"
"users","users_openId_unique","1","openId","0"
"valuation_comparable_evidence","PRIMARY","1","id","0"
"variance_datasets","PRIMARY","1","id","0"
"vehicle_condition_assessment","PRIMARY","1","id","0"
"vehicle_condition_snapshots","PRIMARY","1","id","0"
"vehicle_condition_snapshots","uq_vehicle_condition_snapshot_version","1","insurance_service_request_id","0"
"vehicle_condition_snapshots","uq_vehicle_condition_snapshot_version","2","snapshot_version","0"
"vehicle_damage_history","PRIMARY","1","id","0"
"vehicle_geometry_measurements","PRIMARY","1","id","0"
"vehicle_market_valuations","PRIMARY","1","id","0"
"vehicle_mileage_logs","PRIMARY","1","id","0"
"vehicle_models","PRIMARY","1","id","0"
"vehicle_passport_snapshots","PRIMARY","1","id","0"
"vehicle_registry","PRIMARY","1","id","0"
"vehicle_registry","idx_vehicle_registry_vin","1","vin","0"
"vehicle_registry","vehicle_registry_vin_unique","1","vin","0"
"weight_adjustment_log","PRIMARY","1","id","0"
"whatsapp_sessions","PRIMARY","1","id","0"
"workflow_audit_trail","PRIMARY","1","id","0"
"workflow_configuration","PRIMARY","1","id","0"
"workflow_templates","PRIMARY","1","id","0"
