table_name,index_name,seq_in_index,column_name,non_unique
"system_errors","idx_se_error_code","1","error_code","1"
"system_errors","idx_se_occurred_at","1","occurred_at","1"
"system_errors","idx_se_procedure","1","procedure_name","1"
"system_errors","idx_se_user_id","1","user_id","1"
"tenant_invitations","email_idx","1","email","1"
"tenant_invitations","expires_at_idx","1","expires_at","1"
"tenant_invitations","tenant_id_idx","1","tenant_id","1"
"tenant_invitations","tenant_invitations_token_unique","1","token","0"
"tenant_isolation_violations","idx_tiv_occurred_at","1","occurred_at","1"
"tenant_isolation_violations","idx_tiv_procedure","1","procedure_name","1"
"tenant_isolation_violations","idx_tiv_user_id","1","user_id","1"
"tenant_isolation_violations","idx_tiv_user_tenant","1","user_tenant_id","1"
"tenant_workflow_configs","tenant_id","1","tenant_id","1"
"tenants","idx_tenants_name","1","name","1"
"tenants","idx_tenants_status","1","status","1"
"third_party_vehicles","third_party_vehicles_claim_id_claims_id_fk","1","claim_id","1"
"training_data_scores","training_data_scores_historical_claim_id_unique","1","historical_claim_id","1"
"training_dataset","training_dataset_historical_claim_id_unique","1","historical_claim_id","1"
"usage_events","claim_idx","1","claim_id","1"
"usage_events","event_type_idx","1","event_type","1"
"usage_events","reference_idx","1","reference_id","1"
"usage_events","tenant_idx","1","tenant_id","1"
"usage_events","timestamp_idx","1","timestamp","1"
"usage_events","usage_events_claim_id_claims_id_fk","1","claim_id","1"
"users","idx_users_is_active","1","is_active","1"
"users","idx_users_phone_tenant","1","phone_number","1"
"users","idx_users_phone_tenant","2","tenant_id","1"
"users","idx_users_tenant_id","1","tenant_id","1"
"users","users_openId_unique","1","openId","0"
"valuation_comparable_evidence","valuation_comparable_request_idx","1","valuation_request_id","1"
"valuation_comparable_evidence","valuation_comparable_source_idx","1","source_type","1"
"valuation_comparable_evidence","valuation_comparable_source_idx","2","source_reference","1"
"variance_datasets","idx_vd_claim","1","historical_claim_id","1"
"variance_datasets","idx_vd_tenant","1","tenant_id","1"
"variance_datasets","idx_vd_type","1","comparison_type","1"
"vehicle_condition_assessment","vehicle_condition_assessment_claim_id_claims_id_fk","1","claim_id","1"
"vehicle_condition_snapshots","idx_vehicle_condition_snapshot_tenant_vehicle","1","tenant_id","1"
"vehicle_condition_snapshots","idx_vehicle_condition_snapshot_tenant_vehicle","2","vehicle_registry_id","1"
"vehicle_condition_snapshots","idx_vehicle_condition_snapshot_vehicle_date","1","vehicle_registry_id","1"
"vehicle_condition_snapshots","idx_vehicle_condition_snapshot_vehicle_date","2","snapshot_date","1"
"vehicle_condition_snapshots","uq_vehicle_condition_snapshot_version","1","insurance_service_request_id","0"
"vehicle_condition_snapshots","uq_vehicle_condition_snapshot_version","2","snapshot_version","0"
"vehicle_damage_history","idx_vdh_claim_id","1","claim_id","1"
"vehicle_damage_history","idx_vdh_damage_zone","1","damage_zone","1"
"vehicle_damage_history","idx_vdh_repairer","1","repairer_id","1"
"vehicle_damage_history","idx_vdh_repeat_zone","1","is_repeat_zone","1"
"vehicle_damage_history","idx_vdh_severity","1","severity","1"
"vehicle_damage_history","idx_vdh_tenant","1","tenant_id","1"
"vehicle_damage_history","idx_vdh_vehicle_id","1","vehicle_id","1"
"vehicle_damage_history","idx_vdh_vehicle_reg","1","vehicle_registration","1"
"vehicle_damage_history","vehicle_damage_history_claim_id_claims_id_fk","1","claim_id","1"
"vehicle_geometry_measurements","fk_vgm_vehicle_model","1","vehicle_model_id","1"
"vehicle_market_valuations","vehicle_market_valuations_claim_id_claims_id_fk","1","claim_id","1"
"vehicle_passport_snapshots","idx_vps_generated_at","1","generated_at","1"
"vehicle_passport_snapshots","idx_vps_registration_number","1","registration_number","1"
"vehicle_passport_snapshots","idx_vps_tenant_id","1","tenant_id","1"
"vehicle_passport_snapshots","idx_vps_vehicle_registry_id","1","vehicle_registry_id","1"
"vehicle_registry","idx_vehicle_registry_make_model","1","make","1"
"vehicle_registry","idx_vehicle_registry_make_model","2","model","1"
"vehicle_registry","idx_vehicle_registry_registration","1","registration_number","1"
"vehicle_registry","idx_vehicle_registry_repeat_claimer","1","is_repeat_claimer","1"
"vehicle_registry","idx_vehicle_registry_risk_score","1","vehicle_risk_score","1"
"vehicle_registry","idx_vehicle_registry_tenant","1","tenant_id","1"
"vehicle_registry","idx_vehicle_registry_vin","1","vin","0"
"vehicle_registry","vehicle_registry_vin_unique","1","vin","0"
"weight_adjustment_log","idx_wal_created_at","1","created_at","1"
"weight_adjustment_log","idx_wal_direction","1","sensitivity_direction","1"
"weight_adjustment_log","idx_wal_type","1","mismatch_type","1"
"whatsapp_sessions","idx_wa_phone","1","phone_number","1"
"whatsapp_sessions","idx_wa_status","1","status","1"
"workflow_audit_trail","idx_audit_claim_timestamp","1","claim_id","1"
"workflow_audit_trail","idx_audit_claim_timestamp","2","created_at","1"
"workflow_audit_trail","idx_workflow_audit_claim_state_time","1","claim_id","1"
"workflow_audit_trail","idx_workflow_audit_claim_state_time","2","new_state","1"
"workflow_audit_trail","idx_workflow_audit_claim_state_time","3","created_at","1"
"workflow_audit_trail","idx_workflow_audit_override","1","executive_override","1"
"workflow_audit_trail","idx_workflow_audit_override","2","created_at","1"
"workflow_audit_trail","workflow_audit_trail_claim_id_claims_id_fk","1","claim_id","1"
"workflow_configuration","tenant_id","1","tenant_id","1"
"workflow_templates","idx_wt_is_default","1","tenant_id","1"
"workflow_templates","idx_wt_is_default","2","is_default","1"
"workflow_templates","idx_wt_tenant_id","1","tenant_id","1"
